Book,hadithId,Matn,Sanad
صحيح البخاري,4134,"   , أن رسول ه  , بعث بعثا وأمر هم أسامة بن زيد  فطعن الناس في إمارته  فقام رسول ه  ف :  إن تطعنوا في إمارته فقد كنتم تطعنون في إمارة أبيه من قبل  وايم ه إن كان لخليقا للإمارة  وإن كان لمن أحب الناس إلي  وإن هذا لمن أحب الناس إلي بعده   .","['إسماعيل', 'مالك', 'عبد ه بن دينار', 'عبد ه بن عمر']"
صحيح البخاري,4135,  أنه  له :  متى هاجرت   : خرجنا من اليمن مهاجرين فقدمنا الجحفة  فأقبل راكب فقلت له الخبر  ف : دفنا النبي  منذ خمس  قلت : هل سمعت في ليلة القدر شيئا   : نعم  أخبرني بلال مؤذن النبي   أنه في السبع في العشر الأواخر   .,"['أصبغ', 'ابن وهب', 'عمرو بن الحارث', 'ابن أبي حبيب', 'أبي الخير', 'الصنابحي']"
صحيح البخاري,4136,"  رضي ه  , كم غزوت مع رسول ه    : سبع عشرة  قلت : كم غزا النبي    : تسع عشرة   .","['عبد ه بن رجاء', 'إسرائيل', 'أبي إسحاق', 'زيد بن أرقم']"
صحيح البخاري,4137,"  رضي ه  ,  :  غزوت مع النبي  خمس عشرة   .","['عبد ه بن رجاء', 'إسرائيل', 'أبي إسحاق', 'البراء']"
صحيح البخاري,4138,"  ,  :  غزا مع رسول ه صلي ه ه وسلم ست عشرة غزوة   .","['أحمد بن الحسن', 'أحمد بن محمد بن حنبل بن هلال', 'معتمر بن سليمان', 'كهمس', 'ابن بريدة', 'أبيه']"
صحيح البخاري,4139,    : كنت أصلي في المسجد  فدعاني رسول ه  فلم أجبه  فقلت : يا رسول ه  إني كنت أصلي  ف :  ألم يقل ه استجيبوا لله وللرسول إذا دعاكم لما يحييكم  24  ثم  لي :  لأعلمنك سورة هي أعظم السور في القرآن قبل أن تخرج من المسجد   ثم أخذ بيدي  فلما أراد أن يخرج  قلت له : ألم تقل لأعلمنك سورة هي أعظم سورة في القرآن   :  الحمد لله رب العالمين  2 هي السبع المثاني  والقرآن العظيم الذي أوتيته   .,"['مسدد', 'يحيى', 'شعبة', 'خبيب بن عبد الرحمن', 'حفص بن عاصم', 'أبي سعيد بن المعلى']"
صحيح البخاري,4140,  رضي ه   أن رسول ه   :  إذا  الإمام غير المغضوب هم ولا الضالين  7  فقولوا : آمين  فمن وافق قوله قول الملائكة غفر له ما تقدم من ذنبه   .,"['عبد ه بن يوسف', 'مالك', 'سمي', 'أبي صالح', 'أبي هريرة']"
صحيح البخاري,4141,"  رضي ه  , عن النبي   : يجتمع المؤمنون يوم القيامة  فيقولون : لو استشفعنا إلى ربنا فيأتون آدم فيقولون : أنت أبو الناس خلقك ه بيده وأسجد لك ملائكته  وعلمك أسماء كل شيء  فاشفع لنا عند ربك حتى يريحنا من مكاننا هذا  فيقول : لست هناكم ويذكر ذنبه  فيستحي ائتوا نوحا  فإنه أول رسول بعثه ه إلى أهل الأرض  فيأتونه  فيقول : لست هناكم ويذكر سؤاله ربه ما ليس له به علم فيستحي  فيقول : ائتوا خليل الرحمن  فيأتونه  فيقول : لست هناكم ائتوا موسى عبدا كلمه ه  وأعطاه التوراة  فيأتونه  فيقول : لست هناكم  ويذكر قتل النفس بغير نفس فيستحي من ربه  فيقول : ائتوا عيسى عبد ه ورسوله  وكلمة ه وروحه  فيقول : لست هناكم ائتوا محمدا  عبدا غفر ه له ما تقدم من ذنبه وما تأخر  فيأتوني  فأنطلق حتى أستأذن على ربي  فيؤذن لي  فإذا رأيت ربي وقعت ساجدا  فيدعني ما شاء ه  ثم ي : ارفع رأسك وسل تعطه  وقل يسمع  واشفع تشفع  فأرفع رأسي فأحمده بتحميد يعلمنيه  ثم أشفع فيحد لي حدا  فأدخلهم الجنة  ثم أعود إليه فإذا رأيت ربي مثله  ثم أشفع فيحد لي حدا  فأدخلهم الجنة  ثم أعود الرابعة  فأقول : ما بقي في النار إلا من حبسه القرآن ووجب ه الخلود    أبو عبد ه : إلا من حبسه القرآن يعني قول ه تعالى خالدين فيها  162 .","['مسلم بن إبراهيم', 'هشام', 'قتادة', 'أنس', 'خليفة', 'يزيد بن زريع', 'سعيد', 'قتادة', 'أنس']"
صحيح البخاري,4142,    : سألت النبي  أي الذنب أعظم عند ه   :  أن تجعل لله ندا وهو خلقك   قلت : إن ذلك لعظيم  قلت : ثم أي   :  وأن تقتل ولدك تخاف أن يطعم معك   قلت : ثم أي   :  أن تزاني حليلة جارك   .,"['عثمان بن أبي شيبة', 'جرير', 'منصور', 'أبي وائل', 'عمرو بن شرحبيل', 'عبد ه']"
صحيح البخاري,4143,  رضي ه    :  رسول ه  :  الكمأة من المن وماؤها شفاء للعين   .,"['أبو نعيم', 'سفيان', 'عبد الملك', 'عمرو بن حريث', 'سعيد بن زيد']"
